Name                          | Version                       | Licenses
----                          | -------                       | --------
aho-corasick                  | 0.7.13                        | MIT, Unlicense
akibisuto-stylus              | 0.1.12                        | MIT
ansi_term                     | 0.11.0                        | MIT
anyhow                        | 1.0.31                        | Apache-2.0, MIT
askama                        | 0.10.1                        | Apache-2.0, MIT
askama_derive                 | 0.10.1                        | Apache-2.0, MIT
askama_escape                 | 0.10.1                        | Apache-2.0, MIT
askama_shared                 | 0.10.2                        | Apache-2.0, MIT
async-trait                   | 0.1.36                        | Apache-2.0, MIT
atty                          | 0.2.14                        | MIT
autocfg                       | 1.0.0                         | Apache-2.0, MIT
base64                        | 0.12.3                        | Apache-2.0, MIT
bb8                           | 0.4.2                         | MIT
bb8-postgres                  | 0.4.0                         | MIT
bitflags                      | 1.2.1                         | Apache-2.0, MIT
block-buffer                  | 0.7.3                         | Apache-2.0, MIT
block-buffer                  | 0.9.0                         | Apache-2.0, MIT
block-padding                 | 0.1.5                         | Apache-2.0, MIT
byte-tools                    | 0.3.1                         | Apache-2.0, MIT
byteorder                     | 1.3.4                         | MIT, Unlicense
bytes                         | 0.5.5                         | MIT
cc                            | 1.0.57                        | Apache-2.0, MIT
cfg-if                        | 0.1.10                        | Apache-2.0, MIT
chrono                        | 0.4.13                        | Apache-2.0, MIT
clap                          | 2.33.1                        | MIT
cloudabi                      | 0.1.0                         | BSD-2-Clause
cpuid-bool                    | 0.1.0                         | Apache-2.0, MIT
crossbeam-channel             | 0.4.2                         | Apache-2.0, BSD-2-Clause, MIT
crossbeam-utils               | 0.7.2                         | Apache-2.0, MIT
crypto-mac                    | 0.8.0                         | Apache-2.0, MIT
ctor                          | 0.1.15                        | Apache-2.0, MIT
ctrlc                         | 3.1.4                         | Apache-2.0, MIT
curl                          | 0.4.30                        | MIT
curl-sys                      | 0.4.32+curl-7.70.0            | MIT
difference                    | 2.0.0                         | MIT
digest                        | 0.8.1                         | Apache-2.0, MIT
digest                        | 0.9.0                         | Apache-2.0, MIT
dtoa                          | 0.4.6                         | Apache-2.0, MIT
encoding_rs                   | 0.8.23                        | Apache-2.0, MIT
fake-simd                     | 0.1.2                         | Apache-2.0, MIT
fallible-iterator             | 0.2.0                         | Apache-2.0, MIT
fallible-streaming-iterator   | 0.1.9                         | Apache-2.0, MIT
fenn                          | 0.1.0                         | Missing
fnv                           | 1.0.7                         | Apache-2.0, MIT
foreign-types                 | 0.3.2                         | Apache-2.0, MIT
foreign-types-shared          | 0.1.1                         | Apache-2.0, MIT
fuchsia-zircon                | 0.3.3                         | BSD-3-Clause
fuchsia-zircon-sys            | 0.3.3                         | BSD-3-Clause
futf                          | 0.1.4                         | Apache-2.0, MIT
futures                       | 0.3.5                         | Apache-2.0, MIT
futures-channel               | 0.3.5                         | Apache-2.0, MIT
futures-core                  | 0.3.5                         | Apache-2.0, MIT
futures-executor              | 0.3.5                         | Apache-2.0, MIT
futures-io                    | 0.3.5                         | Apache-2.0, MIT
futures-macro                 | 0.3.5                         | Apache-2.0, MIT
futures-sink                  | 0.3.5                         | Apache-2.0, MIT
futures-task                  | 0.3.5                         | Apache-2.0, MIT
futures-util                  | 0.3.5                         | Apache-2.0, MIT
generator                     | 0.6.21                        | Apache-2.0, MIT
generic-array                 | 0.12.3                        | MIT
generic-array                 | 0.14.2                        | MIT
getrandom                     | 0.1.14                        | Apache-2.0, MIT
h2                            | 0.2.5                         | MIT
headers                       | 0.3.2                         | MIT
headers-core                  | 0.2.0                         | MIT
hermit-abi                    | 0.1.15                        | Apache-2.0, MIT
hmac                          | 0.8.1                         | Apache-2.0, MIT
html5ever                     | 0.25.1                        | Apache-2.0, MIT
http                          | 0.2.1                         | Apache-2.0, MIT
http-body                     | 0.3.1                         | MIT
httparse                      | 1.3.4                         | Apache-2.0, MIT
hyper                         | 0.13.6                        | MIT
idna                          | 0.2.0                         | Apache-2.0, MIT
indexmap                      | 1.4.0                         | Apache-2.0, MIT
instant                       | 0.1.6                         | BSD-3-Clause
iovec                         | 0.1.4                         | Apache-2.0, MIT
isahc                         | 0.9.5                         | MIT
itoa                          | 0.4.6                         | Apache-2.0, MIT
juniper                       | 0.14.2                        | BSD-2-Clause
juniper_codegen               | 0.14.2                        | BSD-2-Clause
kernel32-sys                  | 0.2.2                         | MIT
lazy_static                   | 1.4.0                         | Apache-2.0, MIT
libc                          | 0.2.71                        | Apache-2.0, MIT
libnghttp2-sys                | 0.1.4+1.41.0                  | Apache-2.0, MIT
libsqlite3-sys                | 0.18.0                        | MIT
libz-sys                      | 1.0.25                        | Apache-2.0, MIT
linked-hash-map               | 0.5.3                         | Apache-2.0, MIT
lock_api                      | 0.4.1                         | Apache-2.0, MIT
log                           | 0.4.8                         | Apache-2.0, MIT
loom                          | 0.3.4                         | MIT
lru-cache                     | 0.1.2                         | Apache-2.0, MIT
mac                           | 0.1.1                         | Apache-2.0, MIT
maplit                        | 1.0.2                         | Apache-2.0, MIT
markup5ever                   | 0.10.0                        | Apache-2.0, MIT
markup5ever_arcdom            | 0.1.1                         | Apache-2.0, MIT
matchers                      | 0.0.1                         | MIT
matches                       | 0.1.8                         | MIT
maybe-uninit                  | 2.0.0                         | Apache-2.0, MIT
md5                           | 0.7.0                         | Apache-2.0, MIT
memchr                        | 2.3.3                         | MIT, Unlicense
mime                          | 0.3.16                        | Apache-2.0, MIT
mime_guess                    | 2.0.3                         | MIT
mio                           | 0.6.22                        | MIT
mio-uds                       | 0.6.8                         | Apache-2.0, MIT
miow                          | 0.2.1                         | Apache-2.0, MIT
net2                          | 0.2.34                        | Apache-2.0, MIT
new_debug_unreachable         | 1.0.4                         | MIT
nix                           | 0.17.0                        | MIT
nom                           | 5.1.2                         | MIT
num-integer                   | 0.1.43                        | Apache-2.0, MIT
num-traits                    | 0.2.12                        | Apache-2.0, MIT
num_cpus                      | 1.13.0                        | Apache-2.0, MIT
once_cell                     | 1.4.0                         | Apache-2.0, MIT
opaque-debug                  | 0.2.3                         | Apache-2.0, MIT
opaque-debug                  | 0.3.0                         | Apache-2.0, MIT
openssl                       | 0.10.30                       | Apache-2.0
openssl-probe                 | 0.1.2                         | Apache-2.0, MIT
openssl-src                   | 111.10.0+1.1.1g               | Apache-2.0, MIT
openssl-sys                   | 0.9.58                        | MIT
output_vt100                  | 0.1.2                         | MIT
parking_lot                   | 0.11.0                        | Apache-2.0, MIT
parking_lot_core              | 0.8.0                         | Apache-2.0, MIT
percent-encoding              | 2.1.0                         | Apache-2.0, MIT
pest                          | 2.1.3                         | Apache-2.0, MIT
pest_derive                   | 2.1.0                         | Apache-2.0, MIT
pest_generator                | 2.1.3                         | Apache-2.0, MIT
pest_meta                     | 2.1.3                         | Apache-2.0, MIT
phf                           | 0.8.0                         | MIT
phf_codegen                   | 0.8.0                         | MIT
phf_generator                 | 0.8.0                         | MIT
phf_shared                    | 0.8.0                         | MIT
pin-project                   | 0.4.22                        | Apache-2.0, MIT
pin-project-internal          | 0.4.22                        | Apache-2.0, MIT
pin-project-lite              | 0.1.7                         | Apache-2.0, MIT
pin-utils                     | 0.1.0                         | Apache-2.0, MIT
pkg-config                    | 0.3.17                        | Apache-2.0, MIT
postgres-derive               | 0.4.0                         | Apache-2.0, MIT
postgres-protocol             | 0.5.2                         | Apache-2.0, MIT
postgres-types                | 0.1.2                         | Apache-2.0, MIT
ppv-lite86                    | 0.2.8                         | Apache-2.0, MIT
precomputed-hash              | 0.1.1                         | MIT
pretty_assertions             | 0.6.1                         | Apache-2.0, MIT
proc-macro-error              | 1.0.3                         | Apache-2.0, MIT
proc-macro-error-attr         | 1.0.3                         | Apache-2.0, MIT
proc-macro-hack               | 0.5.16                        | Apache-2.0, MIT
proc-macro-nested             | 0.1.6                         | Apache-2.0, MIT
proc-macro2                   | 1.0.18                        | Apache-2.0, MIT
